Latitude,Longitude
41.7504259,-87.6476761
41.7487657,-87.6476263
41.7487657,-87.6476263
41.7451294,-87.6475096
41.7451294,-87.6475096
41.7432991,-87.6474953
41.7432991,-87.6474953
