Latitude,Longitude
41.8844649,-87.6354008
41.8844649,-87.6354008
41.8857333,-87.6354195
41.8857333,-87.6354195
41.8806496,-87.6353074
41.8806496,-87.6353074
41.8767306,-87.6367918
41.8767306,-87.6367918
41.8767306,-87.6367918
41.874736,-87.6352804
41.874736,-87.6352804
41.8721483,-87.6335657
41.8721483,-87.6335657
41.8721483,-87.6335657
41.8721483,-87.6335657
41.8731634,-87.6242963
41.8731634,-87.6242963
41.8731634,-87.6242963
41.8743919,-87.6275929
41.8743919,-87.6275929
41.8743919,-87.6275929
41.8743919,-87.6275929
41.8730957,-87.6276452
41.8730957,-87.6276452
41.8722901,-87.6291212
41.8722901,-87.6291212
41.8722901,-87.6291212
41.8723002,-87.627625
41.8723002,-87.627625
41.8723002,-87.627625
41.8744135,-87.6259881
41.8744135,-87.6259881
41.8744135,-87.6259881
41.8744135,-87.6259881
41.8731323,-87.625978
41.8731323,-87.625978
41.8731323,-87.625978
41.8731323,-87.625978
41.8718484,-87.6259502
41.8718484,-87.6259502
41.8718484,-87.6259502
41.8718484,-87.6259502
41.8718188,-87.6276109
41.8718188,-87.6276109
41.8718818,-87.6241036
41.8718818,-87.6241036
41.8757059,-87.6287096
41.8757059,-87.6287096
41.8757059,-87.6287096
41.8815717,-87.6206965
41.8815717,-87.6206965
41.8815717,-87.6206965
41.8857353,-87.6339477
41.8857353,-87.6339477
41.885747,-87.6309862
41.885747,-87.6309862
41.8857414,-87.6325642
41.8857414,-87.6325642
41.8857554,-87.627936
41.8857554,-87.627936
41.8857554,-87.627936
41.8857605,-87.6262864
41.8857605,-87.6262864
41.8857605,-87.6262864
41.8857702,-87.6244308
41.8857702,-87.6244308
41.8857702,-87.6244308
41.8721671,-87.6325557
41.8721671,-87.6325557
41.8721671,-87.6325557
41.8721671,-87.6325557
41.8722927,-87.6286414
41.8722927,-87.6286414
41.8722927,-87.6286414
41.8722927,-87.6286414
41.8722927,-87.6286414
41.8722832,-87.6296003
41.8722832,-87.6296003
41.883881,-87.6353882
41.883881,-87.6353882
41.8745333,-87.6296681
41.8745333,-87.6296681
41.8745333,-87.6296681
41.874518,-87.6306857
41.874518,-87.6306857
41.874518,-87.6306857
41.874518,-87.6306857
41.8745025,-87.6317117
41.8745025,-87.6317117
41.8745025,-87.6317117
